data_year,arrestee_id,nibrs_arrestee_weapon_id,weapon_id
2022,48491803,,51
2022,48491804,,51
2022,48491805,,51
2022,45719147,,51
2022,45727270,,51
2022,48330538,,51
2022,45826843,,51
2022,48491806,,51
2022,48491807,,51
2022,48491808,,51
2022,48491809,,51
2022,48491810,,51
2022,48491811,,51
2022,48491812,,51
2022,48491813,,51
2022,47959821,,9
2022,49360693,,51
2022,49360694,,51
2022,49360695,,51
2022,49360696,,51
2022,49360697,,51
2022,49360698,,51
2022,49360700,,51
2022,49360701,,51
2022,49360702,,51
2022,49360703,,51
2022,49360704,,51
2022,49360705,,51
2022,49360706,,51
2022,49360707,,51
2022,49360708,,51
2022,49360709,,51
2022,49360711,,51
2022,49360712,,51
2022,46282255,,51
2022,45796756,,51
2022,47232344,,51
2022,47233256,,51
2022,47232346,,51
2022,45765553,,51
2022,45812957,,51
2022,45812958,,51
2022,45979915,,51
2022,49360713,,51
2022,49360714,,51
2022,49360715,,51
2022,49360716,,51
2022,49360717,,51
2022,49360719,,51
2022,49360720,,51
2022,49888747,,51
2022,45727274,,51
2022,45915089,,51
2022,45915090,,51
2022,45796757,,51
2022,45962651,,51
2022,45765556,,51
2022,45796758,,51
2022,45796759,,51
2022,47266269,,51
2022,47261705,,51
2022,46251508,,51
2022,45812959,,51
2022,47509491,,51
2022,47266270,,51
2022,47266271,,51
2022,46282256,,51
2022,46282257,,51
2022,47266272,,51
2022,45940841,,51
2022,49888750,,51
2022,49888753,,51
2022,49888754,,51
2022,49888755,,51
2022,49888757,,51
2022,49888758,,51
2022,49888759,,51
2022,49888761,,51
2022,46560220,,51
2022,47293201,,51
2022,47293202,,51
2022,47261706,,51
2022,46243197,,51
2022,50395352,,51
2022,46870251,,51
2022,45962652,,51
2022,48167048,,51
2022,46562626,,51
2022,46562627,,52
2022,46562628,,51
2022,46562629,,51
2022,46562630,,51
2022,46562633,,51
2022,46562634,,51
2022,46562635,,51
2022,46562636,,51
2022,46562638,,51
2022,46562639,,51
2022,46562640,,51
2022,46562641,,51
2022,46562642,,51
2022,46562643,,51
2022,46016504,,51
2022,46287997,,3
2022,47507984,,51
2022,46640305,,51
2022,47266273,,51
2022,46640306,,51
2022,46277193,,51
2022,46640307,,51
2022,46640308,,51
2022,46277194,,51
2022,45979920,,51
2022,46269223,,51
2022,47266274,,51
2022,46078222,,51
2022,46243198,,51
2022,46243199,,51
2022,47660835,,51
2022,47674826,,51
2022,47674827,,51
2022,47685790,,51
2022,46078225,,51
2022,46640309,,51
2022,46640310,,51
2022,46640311,,51
2022,46640312,,51
2022,46640313,,51
2022,46640314,,51
2022,46640315,,51
2022,46640316,,51
2022,46640317,,51
2022,46977945,,51
2022,46977946,,51
2022,46977947,,51
2022,46977948,,51
2022,46977949,,51
2022,46977950,,51
2022,46977951,,51
2022,46977952,,51
2022,46977953,,51
2022,46977954,,51
2022,46977955,,51
2022,46977956,,51
2022,46977957,,51
2022,46977958,,51
2022,46977959,,51
2022,46977960,,51
2022,46977961,,51
2022,46977963,,51
2022,47353301,,51
2022,47293203,,51
2022,48479988,,51
2022,46977964,,51
2022,46977965,,51
2022,46977968,,51
2022,46977969,,51
2022,46977970,,51
2022,46977971,,51
2022,46977972,,51
2022,46977973,,51
2022,46977974,,51
2022,47399896,,51
2022,47399897,,51
2022,47399898,,51
2022,47399899,,51
2022,47399900,,51
2022,47399901,,51
2022,47399902,,51
2022,47399903,,51
2022,47399904,,51
2022,47399905,,51
2022,47399906,,51
2022,47399907,,51
2022,47399908,,51
2022,47399909,,51
2022,47399910,,51
2022,47399911,,51
2022,47787131,,51
2022,47787132,,51
2022,48365852,,51
2022,47304016,,51
2022,47304017,,51
2022,46243200,,51
2022,47596104,,51
2022,46249570,,51
2022,46872858,,51
2022,47596105,,51
