data_year,property_id,prop_desc_id,property_value,date_recovered,nibrs_prop_desc_id
2022,148571384,17,70,2022-02-18,
2022,148571384,20,107,2022-02-18,
2022,148571384,58,800,2022-02-19,
2022,148571385,7,160,,
2022,148571385,16,175,,
2022,148571385,17,70,,
2022,148571385,20,107,,
2022,148571385,58,900,,
2022,148571387,20,100,,
2022,148571387,61,250,,
2022,148571388,20,52986,,
2022,148571389,36,175,2022-01-13,
2022,158417613,19,187,,
2022,158417614,63,150,,
2022,158417615,19,105,2022-09-28,
2022,158417616,19,105,,
2022,158417617,63,404,,
2022,148571390,36,200,,
2022,148618041,38,160,,
2022,151902147,37,15500,2022-05-10,
2022,151902148,37,15500,,
2022,148687771,36,987,2022-02-12,
2022,148687772,36,987,,
2022,148687773,7,1885,,
2022,148774448,20,1200,,
2022,148774449,20,18,2022-02-24,
2022,148774450,20,18,,
2022,149087872,21,1,,
2022,149087873,2,500,,
2022,149087873,6,150,,
2022,149087873,8,450,,
2022,149098642,25,20,2022-02-28,
2022,149098643,20,5,,
2022,149098643,25,20,,
2022,149357695,38,500,,
2022,162307493,38,1,,
2022,162307494,63,3160,,
2022,162307495,38,500,,
2022,162307496,3,500,,
2022,162307497,38,500,,
2022,162307498,19,151,,
2022,162307499,31,2300,,
2022,162307500,63,500,,
2022,162307501,19,45,,
2022,162307502,26,350,,
2022,162307503,20,2,,
2022,162307504,61,300,,
2022,162307505,19,68,,
2022,149098650,52,0,,
2022,162307506,8,82,2022-10-12,
2022,162307507,8,82,,
2022,162307508,38,4226,,
2022,162307509,61,200,,
2022,162307510,63,2000,,
2022,162307511,50,50,,
2022,162307512,61,230,,
2022,162307512,63,15,,
2022,162307513,16,700,,
2022,162307514,8,49,,
2022,162307515,26,350,,
2022,150431178,20,550,,
2022,149098656,24,1000,2022-03-03,
2022,149098657,24,1000,,
2022,149357700,21,380421,,
2022,162307516,63,100,,
2022,162307517,63,413,,
2022,162307518,19,43,,
2022,162307519,3,8000,,
2022,162307520,38,5000,,
2022,162307521,42,400,,
2022,162307522,19,352,,
2022,162307522,20,200,,
2022,160933739,9,0,,
2022,160933739,10,15,,
2022,160933739,20,50,,
2022,160933739,25,100,,
2022,160933739,51,0,,
2022,149357703,29,200,,
2022,160933740,11,1,,
2022,160933741,8,118,2022-11-05,
2022,160933742,8,118,,
2022,160933743,20,50,,
2022,160933743,38,40,,
2022,160933744,38,100,,
2022,160933745,63,50,,
2022,160933746,61,699,,
2022,160933747,3,500,,
2022,160933748,63,2,,
2022,160933749,63,43,,
2022,160933750,3,20000,,
2022,160933751,11,25,,
2022,160933752,30,1000,,
2022,160933753,63,300,,
2022,160933754,10,,,
2022,160933755,38,100,,
2022,160933756,20,7988,,
2022,160933757,3,83965,,
2022,160933758,3,1000,,
2022,160933758,63,1000,,
2022,160933759,9,0,,
2022,160933760,16,100,,
2022,160933761,20,3000,,
2022,160933761,63,900,,
2022,160933762,61,800,,
2022,160933762,63,100,,
2022,160933763,9,0,,
2022,160933763,20,350,,
2022,160933763,25,100,,
2022,160933763,47,0,,
2022,160933763,63,100,,
2022,160933764,16,1602,,
2022,160933765,20,15,,
2022,161546757,7,90,,
2022,161546758,3,160,,
2022,161546758,63,160,,
2022,161546759,3,6000,,
2022,161546760,63,3000,,
2022,161546761,3,500,,
2022,161546762,9,0,,
2022,161546763,35,250,,
2022,161546764,10,,,
2022,161546765,42,1150,,
2022,161546766,54,350,,
2022,161546767,16,200,,
2022,161546768,7,350,,
2022,161546768,17,5000,,
2022,161546768,20,300,,
2022,161546768,36,300,,
2022,161546768,61,898,,
2022,161546769,3,100502,2022-12-15,
2022,161546770,3,100502,,
2022,161546771,3,71699,,
2022,161546772,63,1,2022-12-17,
2022,161546773,16,115,,
2022,161546774,20,300,,
2022,161546775,50,100,,
2022,161546776,11,1,,
