data_year,victim_id,injury_id
2022,173439535,4
2022,173439536,4
2022,172638025,5
2022,173439540,5
2022,169639557,4
2022,174975292,5
2022,174975294,4
2022,174975296,5
2022,174975297,4
2022,171109577,5
2022,164675879,5
2022,174663416,4
2022,174975316,4
2022,174975317,6
2022,174975321,4
2022,174975323,6
2022,174975324,4
2022,174975325,4
2022,174975327,6
2022,174975329,4
2022,174975338,4
2022,174975339,4
2022,174975352,4
2022,174975354,5
2022,174975355,4
2022,174975362,4
2022,174975367,5
2022,174975370,4
2022,174975374,5
2022,174975378,5
2022,174975379,5
2022,174975388,4
2022,174975397,4
2022,174975400,5
2022,174975401,5
2022,174975405,4
2022,174975406,5
2022,174975414,5
2022,174975419,4
2022,174975423,5
2022,174975425,3
2022,174975425,4
2022,174975432,4
2022,174975433,4
2022,174975434,1
2022,174975442,4
2022,174975448,4
2022,176395005,2
2022,173040413,5
